"rules","support","confidence","lift"
"{baking powder} => {whole milk}",0.00925266903914591,0.522988505747126,2.04679345563987
"{grapes} => {other vegetables}",0.0090493136756482,0.404545454545455,2.09075383365977
"{meat} => {other vegetables}",0.0099644128113879,0.385826771653543,1.99401276889784
"{meat} => {whole milk}",0.0099644128113879,0.385826771653543,1.50999056872766
"{frozen meals} => {whole milk}",0.00986273512963904,0.347670250896057,1.36065933846507
"{hard cheese} => {other vegetables}",0.00945602440264362,0.385892116182573,1.99435047958781
"{hard cheese} => {whole milk}",0.0100660904931368,0.410788381742739,1.6076815497174
"{butter milk} => {other vegetables}",0.0103711235383833,0.370909090909091,1.9169158744566
"{butter milk} => {whole milk}",0.0115912557193696,0.414545454545455,1.62238541402887
"{ham} => {other vegetables}",0.00915099135739705,0.3515625,1.81692968339464
"{ham} => {whole milk}",0.0114895780376207,0.44140625,1.72750913997214
"{sliced cheese} => {other vegetables}",0.0090493136756482,0.369294605809129,1.90857196433672
"{sliced cheese} => {whole milk}",0.0107778342653787,0.439834024896266,1.72135600272772
"{oil} => {other vegetables}",0.0099644128113879,0.355072463768116,1.83506972210164
"{oil} => {whole milk}",0.011286222674123,0.402173913043478,1.57396754269105
"{onions} => {root vegetables}",0.00945602440264362,0.304918032786885,2.79745228774162
"{onions} => {other vegetables}",0.0142348754448399,0.459016393442623,2.37226811850142
"{onions} => {whole milk}",0.0120996441281139,0.390163934426229,1.52696470158455
"{berries} => {whipped/sour cream}",0.0090493136756482,0.27217125382263,3.7968855054547
"{berries} => {yogurt}",0.010574478901881,0.318042813455657,2.27984771890408
"{berries} => {other vegetables}",0.0102694458566345,0.308868501529052,1.59628045850669
"{berries} => {whole milk}",0.0117946110828673,0.35474006116208,1.38832809452012
"{hamburger meat} => {other vegetables}",0.0138281647178444,0.415902140672783,2.14944695402881
"{hamburger meat} => {whole milk}",0.0147432638535841,0.443425076452599,1.73541011815015
"{hygiene articles} => {other vegetables}",0.00955770208439248,0.290123456790123,1.49940315161895
"{hygiene articles} => {whole milk}",0.0128113879003559,0.388888888888889,1.52197462086041
"{salty snack} => {other vegetables}",0.0107778342653787,0.28494623655914,1.47264647218032
"{salty snack} => {whole milk}",0.0111845449923742,0.295698924731183,1.15726180848833
"{sugar} => {other vegetables}",0.0107778342653787,0.318318318318318,1.64511858153477
"{sugar} => {whole milk}",0.0150482968988307,0.444444444444444,1.73939956669762
"{waffles} => {other vegetables}",0.0100660904931368,0.261904761904762,1.35356454720617
"{waffles} => {whole milk}",0.012709710218607,0.330687830687831,1.29419610617382
"{long life bakery product} => {other vegetables}",0.0106761565836299,0.285326086956522,1.47460959811739
"{long life bakery product} => {whole milk}",0.0135231316725979,0.361413043478261,1.41444380525615
